STATEFP00,COUNTYFP00,CNTYIDFP00,NAME00,NAMELSAD00,LSAD00,CLASSFP00,MTFCC00,UR00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00
26,71,26071,Iron,Iron County,6,H1,G4020,M,A,3019885943,116716739,46.1702489,-88.5404093
26,123,26123,Newaygo,Newaygo County,6,H1,G4020,M,A,2106170630,125572172,43.5627086,-85.7914227
26,107,26107,Mecosta,Mecosta County,6,H1,G4020,M,A,1437692124,41762979,43.6352949,-85.3327509
26,157,26157,Tuscola,Tuscola County,6,H1,G4020,M,A,2080087300,286929756,43.4879024,-83.4366179
26,141,26141,Presque Isle,Presque Isle County,6,H1,G4020,M,A,1706063931,4957333304,45.4895154,-83.3840147
26,111,26111,Midland,Midland County,6,H1,G4020,M,A,1337087878,30601740,43.648378,-84.3792195
26,25,26025,Calhoun,Calhoun County,6,H1,G4020,M,A,1829083529,31390088,42.2429896,-85.0123853
26,19,26019,Benzie,Benzie County,6,H1,G4020,R,A,828028289,1398240608,44.6486213,-86.4943167
26,1,26001,Alcona,Alcona County,6,H1,G4020,M,A,1747178306,2890419533,44.6825347,-82.8340798
26,11,26011,Arenac,Arenac County,6,H1,G4020,R,A,940624924,822317034,44.0368697,-83.7406754
26,69,26069,Iosco,Iosco County,6,H1,G4020,M,A,1422132488,3473073181,44.329482,-82.8494466
26,45,26045,Eaton,Eaton County,6,H1,G4020,M,A,1489695507,11028096,42.5896144,-84.8465237
26,53,26053,Gogebic,Gogebic County,6,H1,G4020,M,A,2853700622,969935684,46.4880535,-89.788314
26,51,26051,Gladwin,Gladwin County,6,H1,G4020,M,A,1299625004,36650228,43.9897504,-84.3898162
26,63,26063,Huron,Huron County,6,H1,G4020,M,A,2164469622,3369824158,43.907616,-82.8570449
26,27,26027,Cass,Cass County,6,H1,G4020,M,A,1269233236,47281098,41.91624,-85.9994574
26,33,26033,Chippewa,Chippewa County,6,H1,G4020,M,A,4036289692,2952509199,46.3218192,-84.5206297
26,155,26155,Shiawassee,Shiawassee County,6,H1,G4020,M,A,1374422924,26624209,42.9515446,-84.1463518
26,5,26005,Allegan,Allegan County,6,H1,G4020,M,A,2137338853,2610856790,42.5957875,-86.6347446
26,99,26099,Macomb,Macomb County,6,H1,G4020,M,A,1241332685,237335673,42.6714669,-82.9108693
26,159,26159,Van Buren,Van Buren County,6,H1,G4020,M,A,1573371526,1249470315,42.2839861,-86.3056965
26,147,26147,St. Clair,St. Clair County,6,H1,G4020,M,A,1867822812,298719230,42.9288035,-82.6689135
26,133,26133,Osceola,Osceola County,6,H1,G4020,M,A,1466971856,17365931,43.9975523,-85.3222825
26,85,26085,Lake,Lake County,6,H1,G4020,R,A,1469441920,17896759,43.9951867,-85.8113997
26,113,26113,Missaukee,Missaukee County,6,H1,G4020,R,A,1462667454,23577412,44.325424,-85.0854708
26,153,26153,Schoolcraft,Schoolcraft County,6,H1,G4020,M,A,3034053065,1845718462,46.0207579,-86.1993524
26,103,26103,Marquette,Marquette County,6,H1,G4020,M,A,4683945094,4185778822,46.6565965,-87.5840278
26,3,26003,Alger,Alger County,6,H1,G4020,R,A,2369924331,10703552942,47.0800765,-86.5641076
26,73,26073,Isabella,Isabella County,6,H1,G4020,M,A,1483225590,12960487,43.6452331,-84.8394245
26,9,26009,Antrim,Antrim County,6,H1,G4020,R,A,1231954652,326538839,45.0054565,-85.1756245
26,47,26047,Emmet,Emmet County,6,H1,G4020,M,A,1210803605,1073558172,45.5900944,-84.9868217
26,95,26095,Luce,Luce County,6,H1,G4020,M,A,2328592467,2624718308,46.9406018,-85.5823683
26,143,26143,Roscommon,Roscommon County,6,H1,G4020,M,A,1345853320,156424239,44.3395168,-84.6112715
26,75,26075,Jackson,Jackson County,6,H1,G4020,M,A,1817299008,56540223,42.2484738,-84.4208679
26,59,26059,Hillsdale,Hillsdale County,6,H1,G4020,M,A,1549165535,22980609,41.8644753,-84.6424093
26,83,26083,Keweenaw,Keweenaw County,6,H1,G4020,R,A,1398883200,14053475910,47.6819813,-88.1488021
26,131,26131,Ontonagon,Ontonagon County,6,H1,G4020,R,A,3396114800,6292615737,47.2166041,-89.5004614
26,61,26061,Houghton,Houghton County,6,H1,G4020,M,A,2613512478,1275314652,46.9983053,-88.6520662
26,41,26041,Delta,Delta County,6,H1,G4020,M,A,3032780105,2124343918,45.8051009,-86.9013728
26,149,26149,St. Joseph,St. Joseph County,6,H1,G4020,M,A,1296523150,52942658,41.9114878,-85.5228703
26,23,26023,Branch,Branch County,6,H1,G4020,M,A,1311541980,34465477,41.9185851,-85.0665229
26,137,26137,Otsego,Otsego County,6,H1,G4020,M,A,1333908865,29053674,45.0217942,-84.5765966
26,31,26031,Cheboygan,Cheboygan County,6,H1,G4020,M,A,1852519899,440605827,45.4761203,-84.4952706
26,139,26139,Ottawa,Ottawa County,6,H1,G4020,M,A,1459373665,2765957666,42.9418756,-86.6582764
26,91,26091,Lenawee,Lenawee County,6,H1,G4020,M,A,1941337767,30701176,41.8959147,-84.0668533
26,109,26109,Menominee,Menominee County,6,H1,G4020,M,A,2704137954,761800249,45.544174,-87.5098923
26,43,26043,Dickinson,Dickinson County,6,H1,G4020,M,A,1972025231,40531211,46.0128231,-87.8661191
26,7,26007,Alpena,Alpena County,6,H1,G4020,M,A,1481120909,2908717141,44.894954,-83.4265739
26,49,26049,Genesee,Genesee County,6,H1,G4020,M,A,1649764588,32658914,43.0210768,-83.7063718
26,135,26135,Oscoda,Oscoda County,6,H1,G4020,R,A,1465451899,15152992,44.6851205,-84.124894
26,129,26129,Ogemaw,Ogemaw County,6,H1,G4020,R,A,1459234383,29695729,44.3332801,-84.1280728
26,115,26115,Monroe,Monroe County,6,H1,G4020,M,A,1422924836,338316331,41.916097,-83.4871059
26,165,26165,Wexford,Wexford County,6,H1,G4020,M,A,1463385937,27101225,44.3313751,-85.5700462
26,37,26037,Clinton,Clinton County,6,H1,G4020,M,A,1466991079,21106494,42.950455,-84.5916949
26,15,26015,Barry,Barry County,6,H1,G4020,M,A,1432500402,62029172,42.5828109,-85.3145503
26,119,26119,Montmorency,Montmorency County,6,H1,G4020,R,A,1415850681,41411010,45.0241337,-84.1301067
26,13,26013,Baraga,Baraga County,6,H1,G4020,R,A,2326959519,441634024,46.6960684,-88.3560221
26,55,26055,Grand Traverse,Grand Traverse County,6,H1,G4020,M,A,1202611911,354786289,44.7186875,-85.5538484
26,17,26017,Bay,Bay County,6,H1,G4020,M,A,1145557748,487991946,43.6997112,-83.9787007
26,151,26151,Sanilac,Sanilac County,6,H1,G4020,M,A,2493035045,1624894854,43.4491547,-82.6428148
26,127,26127,Oceana,Oceana County,6,H1,G4020,R,A,1326257820,2056136375,43.6472546,-86.8075751
26,81,26081,Kent,Kent County,6,H1,G4020,M,A,2193586421,64739558,43.0324971,-85.547446
26,67,26067,Ionia,Ionia County,6,H1,G4020,M,A,1479669541,22641747,42.9446503,-85.073766
26,93,26093,Livingston,Livingston County,6,H1,G4020,M,A,1464001028,52188299,42.6025316,-83.9117183
26,163,26163,Wayne,Wayne County,6,H1,G4020,M,A,1585257218,156940367,42.2846636,-83.2619533
26,21,26021,Berrien,Berrien County,6,H1,G4020,M,A,1470457874,2625535357,41.7926389,-86.7418216
26,89,26089,Leelanau,Leelanau County,6,H1,G4020,M,A,899168573,5659178382,45.1461816,-86.051574
26,87,26087,Lapeer,Lapeer County,6,H1,G4020,M,A,1665397257,51362519,43.0886327,-83.2243247
26,97,26097,Mackinac,Mackinac County,6,H1,G4020,M,A,2645851022,2794791851,46.1679807,-85.3037562
26,65,26065,Ingham,Ingham County,6,H1,G4020,M,A,1440343968,11894285,42.6035338,-84.3738107
26,77,26077,Kalamazoo,Kalamazoo County,6,H1,G4020,M,A,1454687793,48274044,42.2462657,-85.5328544
26,121,26121,Muskegon,Muskegon County,6,H1,G4020,M,A,1293032658,2488405138,43.2892579,-86.751892
26,125,26125,Oakland,Oakland County,6,H1,G4020,M,A,2247110766,102627062,42.6604518,-83.3842103
26,57,26057,Gratiot,Gratiot County,6,H1,G4020,M,A,1472313856,8150717,43.2923259,-84.60469
26,145,26145,Saginaw,Saginaw County,6,H1,G4020,M,A,2072284641,41056727,43.3282667,-84.05541
26,29,26029,Charlevoix,Charlevoix County,6,H1,G4020,M,A,1078289355,2522945511,45.5131638,-85.450392
26,117,26117,Montcalm,Montcalm County,6,H1,G4020,M,A,1826976057,39956625,43.3127822,-85.1494679
26,105,26105,Mason,Mason County,6,H1,G4020,M,A,1282232870,1935676016,43.9966363,-86.7508137
26,35,26035,Clare,Clare County,6,H1,G4020,M,A,1461544749,28552600,43.9911368,-84.8383253
26,39,26039,Crawford,Crawford County,6,H1,G4020,M,A,1440955264,18032225,44.6802083,-84.6111321
26,79,26079,Kalkaska,Kalkaska County,6,H1,G4020,M,A,1449771360,28078077,44.6788808,-85.0889915
26,101,26101,Manistee,Manistee County,6,H1,G4020,M,A,1404159906,1912485293,44.3503854,-86.6029672
26,161,26161,Washtenaw,Washtenaw County,6,H1,G4020,M,A,1828441470,42615161,42.2523272,-83.8446336
